content,dealy,client,total op,union,split,time(u)(ms),time(s)(ms),mem(server+n clients),ot calls(server),max_ot,max_duration(ms),remark,Delay(47.100.34.153),Delay(47.99.201.21),,,,,,
75ms,,10,2400,960,1440,237.03,7.48,328.92M+39.09M+33.42M+15.63M+26.64M+21.69M+36.87M+49.41M+49.09M+36.33M+40.13M,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
5ms,,6,2400,960,1440,96.79,8.05,279.85M+76.46M+60.69M+34.36M+69.57M+62.1M+5.9M ,2683364,11452,234,,,,,,,,,
15ms,,6,2400,960,1440,134.83,7.6,240.32M+52.92M+39.63M+8.29M+71.02M+46.7M+44.75M ,2272716,10925,208,,,,,,,,,
25ms,,6,2400,960,1440,256.04,8.44,219.35M+12.18M+35.35M+27.35M+56.28M+45.99M+51.05M ,1871772,11684,160,,,,,,,,,
35ms,,6,2400,960,1440,121.21,7.36,256.79M+22.25M+8.85M+35.36M+57.82M+68.15M+87.65M ,2409348,11073,217,,,,,,,,,
45ms,,6,2400,960,1440,105.28,7.09,259.12M+35.99M+59.06M+69.94M+10.9M+54.03M+41.36M ,2481266,11134,222,,,,,,,,,
55ms,,6,2400,960,1440,129.61,7.43,260.89M+30.88M+41.58M+41.95M+39.79M+57.78M+59.05M ,2358560,12093,195,,,,,,,,,
65ms,,6,2400,960,1440,105.86,7.27,253.62M+67.08M+83.83M+31.04M+10.7M+45.1M+28.76M ,2452982,10417,235,,,,,,,,,
75ms,,6,2400,960,1440,132.21,6.78,243.69M+60.28M+82.33M+59.28M+10.66M+12.07M+36.09M ,2441572,9903,246,,,,,,,,,
,,6,2400,960,1440,139,7.28,237.36M+48.19M+29.54M+48.08M+24.22M+50.43M+51.45M ,2251034,11725,191,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
different union percent(2400 total operations 100item),,,,,,,,,,,,,,,,,,,,
0.3,,6,2400,720,1680,89.6,7.45,273.64M+13.89M+37.38M+64.4M+84.62M+59.29M+35.75M ,2853980,10943,260,,,,,,,,,
0.4,,6,2400,960,1440,122.69,7.24,266.76M+54.96M+9.81M+41.11M+67.5M+39.93M+76.08M ,2581556,10714,240,,,,,,,,,
0.5,,6,2400,1200,1200,151.52,7.56,286.74M+67.91M+49.03M+6.22M+93.56M+62.37M+28.06M ,2464602,10563,233,,,,,,,,,
,,6,2400,1440,960,226.8,8.93,261.8M+29.05M+61.38M+48.76M+58.26M+31.03M+22.91M ,1998130,12122,164,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,6,2400,720,1680,106.35,7.4,253.18M+4.58M+36.07M+52.96M+48.05M+89.6M+56.22M,,,,,,,,,,,,
0.4,,6,2400,960,1440,101.21,7.58,269.38M+44.26M+76.1M+10.73M+72.95M+47.74M+39.95M,,,,,,,,,,,,
,,6,2400,1200,1200,99.33,7.24,314.28M+7.4M+37.14M+57.45M+63.56M+79.07M+95.52M,,,,,,,,,,,,
,,6,2400,1440,960,161.59,8.35,286.52M+93.2M+40.96M+33.12M+42.45M+62.87M+29.56M,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
0.3,,6,2400,720,1680,4.89,8.79,342.99M+55.68M+62.35M+72.57M+58.79M+53.78M+66.12M ,3954776,12990,304,,,,,,,,,
0.4,,6,2400,960,1440,6.19,9.6,365.72M+62.43M+63.5M+67.59M+58.72M+61.44M+60.68M ,3976952,13614,292,,,,,,,,,
0.5,,6,2400,1200,1200,7.53,7.74,369.79M+56.75M+56.96M+75.66M+55.48M+60.82M+62.99M ,3871476,13177,293,,,,,,,,,
0.6,,6,2400,1440,960,9.03,6.47,365.72M+67.99M+64.48M+65.99M+66.15M+60.93M+55.77M ,3953486,13411,294,,,,,,,,,
,,6,2400,1680,720,9.88,5.09,355.35M+62.44M+67.73M+63.04M+53.86M+66.28M+72.25M ,3866330,13209,292,,,,,,,,,
,,6,2400,1920,480,9.93,4.32,334.48M+61.63M+90.91M+53.81M+60.99M+64.45M+56.5M ,3790692,12670,299,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
change split (accelerate),,,,,,,,,,,,,,,,,,,,
0.3,,6,2400,720,1680,13.97,7.75,332.86M+66.55M+59.9M+60.86M+63.99M+55.05M+59.97M,,,,,,,,,,,,
0.4,,6,2400,960,1440,18.85,7.49,319.05M+62.2M+64.17M+58.57M+56.31M+57.2M+52.43M,,,,,,,,,,,,
,,6,2400,1200,1200,25.49,6.73,325.33M+61.44M+60.15M+58.9M+56.57M+51.93M+56.95M,,,,,,,,,,,,
,,6,2400,1440,960,26.14,5.1,322.62M+70.25M+56.5M+52.43M+49.85M+58.35M+60M,,,,,,,,,,,,
,,6,2400,1440,960,26.03,5.01,319.82M+52.9M+66.04M+61.65M+52.91M+55.64M+54.83M,,,,,,,,,,,,
,,6,2400,1680,720,30.39,3.29,297.1M+56.81M+62.46M+56.14M+52.19M+52.83M+52.67M,,,,,,,,,,,,
,,6,2400,1920,480,28.05,2.18,275.45M+58.12M+53.07M+54.36M+50.66M+52.18M+50.48M,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
(change split)0.5,,10,6000,3000,3000,57.41,33.89,2.10G+240.41M+283.07M+234.28M+227.94M+245.36M+266.21M+221.2M+215.7M+238.78M+258.43M,,,,,,,,,,,,
		10	6000	3000	3000	34.76	34.98	2.24G+249.95M+254.58M+250.19M+257.26M+244.83M+239.84M+240.77M+247.21M+265.81M+246.17M
